order_id,order_timestamp,sku_id,picker_id,travel_distance_m,movement_timestamp,time_diff,velocity
ORD-E16542,2024-01-01 19:11:05,SKU-10785,PICKER-07,24.09,2024-01-01 19:13:05,1.0,24.09
ORD-1D7F7A,2024-01-01 19:50:34,SKU-10270,PICKER-07,16.13,2024-01-01 19:52:34,0.0,inf
ORD-07CDFD,2024-01-03 20:38:29,SKU-10317,PICKER-07,9.93,2024-01-03 20:40:29,0.0,inf
ORD-AAB323,2024-01-04 18:43:57,SKU-10314,PICKER-07,12.34,2024-01-04 18:45:57,0.0,inf
ORD-138597,2024-01-06 20:09:48,SKU-10706,PICKER-07,27.67,2024-01-06 20:11:48,0.0,inf
ORD-D09BF4,2024-01-08 21:26:54,SKU-10273,PICKER-07,16.81,2024-01-08 21:28:54,0.0,inf
ORD-6C8349,2024-01-09 18:27:22,SKU-10375,PICKER-07,19.94,2024-01-09 18:29:22,0.0,inf
ORD-084B6F,2024-01-11 18:59:19,SKU-10628,PICKER-07,11.35,2024-01-11 19:01:19,0.0,inf
ORD-9F6140,2024-01-12 19:22:30,SKU-10106,PICKER-07,24.44,2024-01-12 19:24:30,0.0,inf
ORD-757B50,2024-01-13 20:34:12,SKU-10259,PICKER-07,15.3,2024-01-13 20:36:12,0.0,inf
ORD-698D51,2024-01-14 18:43:31,SKU-10129,PICKER-07,9.31,2024-01-14 18:45:31,0.0,inf
ORD-698D51,2024-01-14 18:43:31,SKU-10177,PICKER-07,21.2,2024-01-14 18:45:31,0.0,inf
ORD-0A09C8,2024-01-17 17:58:06,SKU-10642,PICKER-07,7.15,2024-01-17 18:00:06,0.0,inf
ORD-D82C8D,2024-01-17 20:40:06,SKU-10548,PICKER-07,8.43,2024-01-17 20:42:06,0.0,inf
ORD-D1C38A,2024-01-18 16:10:23,SKU-10661,PICKER-07,24.1,2024-01-18 16:12:23,0.0,inf
ORD-EB1637,2024-01-18 18:59:05,SKU-10581,PICKER-07,16.01,2024-01-18 19:01:05,0.0,inf
ORD-96DA2F,2024-01-19 17:11:29,SKU-10364,PICKER-07,21.55,2024-01-19 17:13:29,0.0,inf
ORD-F0935E,2024-01-20 21:00:37,SKU-10352,PICKER-07,25.31,2024-01-20 21:02:37,0.0,inf
ORD-7F39F8,2024-01-20 22:37:44,SKU-10130,PICKER-07,25.44,2024-01-20 22:39:44,0.0,inf
ORD-F76640,2024-01-21 19:12:38,SKU-10552,PICKER-07,14.72,2024-01-21 19:14:38,0.0,inf
